filename,bbox,annotation,feat_idx
example_data/images/49.jpg,,,0
example_data/images/23.jpg,,,1
example_data/images/55.jpg,,,2
example_data/images/8.jpg,,,3
example_data/images/98.jpg,,,4
example_data/images/27.jpg,,,5
example_data/images/47.jpg,,,6
example_data/images/48.jpg,,,7
example_data/images/1.jpg,,,8
example_data/images/59.jpg,,,9
example_data/images/66.jpg,,,10
example_data/images/53.jpg,,,11
example_data/images/41.jpg,,,12
example_data/images/7.jpg,,,13
example_data/images/62.jpg,,,14
example_data/images/4.jpg,,,15
example_data/images/20.jpg,,,16
example_data/images/21.jpg,,,17
example_data/images/0.jpg,,,18
example_data/images/65.jpg,,,19
example_data/images/46.jpg,,,20
